surah_number,surah_name_ar,surah_name_en,page_start,page_end,ayah_count,revelation_type
80,عبس,Abasa,585,585,42,meccan
81,التكوير,At-Takwir,586,586,29,meccan
82,الانفطار,Al-Infitar,587,587,19,meccan
83,المطففين,Al-Mutaffifin,587,588,36,meccan
84,الانشقاق,Al-Inshiqaq,589,589,25,meccan
85,البروج,Al-Buruj,590,590,22,meccan
86,الطارق,At-Tariq,591,591,17,meccan
87,الأعلى,Al-A’la,591,592,19,meccan
88,الغاشية,Al-Ghashiyah,592,593,26,meccan
89,الفجر,Al-Fajr,593,594,30,meccan
90,البلد,Al-Balad,594,595,20,meccan
91,الشمس,Ash-Shams,595,595,15,meccan
92,الليل,Al-Layl,595,596,21,meccan
93,الضحى,Ad-Duha,596,596,11,meccan
94,الشرح,Ash-Sharh,596,597,8,meccan
95,التين,At-Tin,597,597,8,meccan
96,العلق,Al-Alaq,597,598,19,meccan
97,القدر,Al-Qadr,598,598,5,meccan
98,البينة,Al-Bayyinah,598,599,8,medinan
99,الزلزلة,Az-Zalzalah,599,599,8,medinan
100,العاديات,Al-Adiyat,599,600,11,meccan
101,القارعة,Al-Qari’ah,600,600,11,meccan
102,التكاثر,At-Takathur,600,601,8,meccan
103,العصر,Al-Asr,601,601,3,meccan
104,الهمزة,Al-Humazah,601,601,9,meccan
105,الفيل,Al-Fil,601,602,5,meccan
106,قريش,Quraysh,602,602,4,meccan
107,الماعون,Al-Ma’un,602,602,7,meccan
108,الكوثر,Al-Kawthar,602,602,3,meccan
109,الكافرون,Al-Kafirun,603,603,6,meccan
110,النصر,An-Nasr,603,603,3,medinan
111,المسد,Al-Masad,603,603,5,meccan
112,الإخلاص,Al-Ikhlas,604,604,4,meccan
113,الفلق,Al-Falaq,604,604,5,meccan
114,الناس,An-Nas,604,604,6,meccan
