surah_number,ayah_from,ayah_to,topic_id,topic,notes
3,42,51,404,"قصة اصطفاء مريم وتبشيرها بابنها عيسى وصفات عيسى ومعجزاته عليه السلام",""
3,52,53,404,"موقف الحواريين ونصرتهم لعيسى",""
3,54,55,404,"مكر اليهود بعيسى عليه السلام ورفع الله عيسى إليه وجزاء كلا الفريقين يوم القيامة",""
3,56,56,302,"مكر اليهود بعيسى عليه السلام ورفع الله عيسى إليه وجزاء كلا الفريقين يوم القيامة",""
3,57,58,202,"مكر اليهود بعيسى عليه السلام ورفع الله عيسى إليه وجزاء كلا الفريقين يوم القيامة",""
3,59,64,305,"الرد على من أنكر بشرية عيسى وأنه خلق من تراب",""
3,65,68,305,"الرد على من زعم أن إبراهيم كان يهوديًا أو نصرانيًا",""
3,69,74,302,"مكر أهل الكتاب بالمسلمين لإضلالهم بعد الهدى",""
3,75,78,302,"طبائع أهل الكتاب والوعيد الشديد الذي ينتظرهم",""
3,75,78,302,"طبائع أهل الكتاب والوعيد الشديد الذي ينتظرهم",""
3,79,80,305,"رد افتراء أهل الكتاب على الأنبياء",""
3,81,85,401,"أخذ الميثاق على الأنبياء أن يؤمنوا بالنبي ﷺ وإسلام من في السماوات والأرض لدين الله ومن ذلك إعراض أهل الكتاب عنه، وعدم قبول غير الإسلام دينًا",""
3,81,85,105,"أخذ الميثاق على الأنبياء أن يؤمنوا بالنبي ﷺ وإسلام من في السماوات والأرض لدين الله ومع ذلك إعراض أهل الكتاب عنه، وعدم قبول غير الإسلام دينًا",""
3,86,89,302,"اليأس من هداية من ضل عن علم وجزاؤه",""
3,90,91,302,"أنواع الكفار وعقابهم",""
3,92,92,202,"تحصيل البر بالإنفاق مما تحب",""
3,93,95,305,"تحريم إسرائيل بعض الأطعمة على نفسه وافتراء اليهود في تحريم بعض الأطعمة والرد عليهم",""
3,96,97,501,"مكانة البيت الحرام وفرضية الحج",""
3,98,99,305,"الرد على أهل الكتاب لصدهم وكفرهم",""
3,100,110,202,"توجيهات ونصائح للمؤمنين للاعتصام بسبيل الله والأمر بالمعروف والنهي عن المنكر والتحذير من التفرق لتبقى الأمة خير أمة أخرجت للناس",""
3,111,112,302,"حال أهل الكتاب وطبيعتهم",""
3,113,115,202,"حال أهل الكتاب المؤمنين",""
3,116,116,302,"خسران الكافرين وضياع أعمالهم هباء منثورًا وضرب المثل بذلك",""
3,117,117,701,"خسران الكافرين وضياع أعمالهم هباء منثورًا وضرب المثل بذلك",""
3,118,120,302,"حقد الكفار ونفاقهم على المؤمنين",""
3,121,129,402,"الحديث عن غزوة بدر وأحد",""
3,130,136,202,"ما يجب على المؤمنين مما ينجيهم من النار ويدخلهم الجنة",""
3,137,141,203,"امتحان المؤمنين بالظالمين وأجر صبرهم في جهادهم لهم",""
3,142,143,402,"تذكير من شهد غزوة أحد أن الجنة لا تنال إلا بالجهاد والصبر",""
3,144,145,401,"تأكيد بشرية الرسول وأن الموت يمكن أن يناله كما ينال البشر جميعًا بإذن الله بالأجل المقدر",""
3,146,148,203,"تذكير بحال أنصار الأنبياء السابقين وثباتهم على الجهاد والتجائهم إلى الله ووعد الله الحسن لهم",""
3,149,151,302,"التحذير من طاعة الكافرين ووجوب اتخاذ الله مولى وعاقبة الكافرين",""
3,152,155,402,"أسباب مصيبة المسلمين في أحد",""
3,156,156,302,"بيان حال المنافقين والتحذير من التشبه بهم",""
3,157,158,203,"ترغيب المؤمنين بالجهاد",""
3,159,164,401,"صفات النبي ﷺ وأخلاقه",""
3,165,166,401,"تتمة أسباب مصيبة المسلمين في أحد وفضح المنافقين",""
3,167,168,302,"تتمة أسباب مصيبة المسلمين في أحد وفضح المنافقين",""
3,169,174,203,"منزلة الشهداء في سبيل الله",""
3,175,180,302,"المؤمن يجب ألا يخاف أولياء الشيطان ولا يحزن من انتصار الكفار فالله يملي لهم ولكن لا يهملهم",""
3,181,184,302,"عاقبة البخل في الدنيا والآخرة وظن اليهود أنهم أغنى من ربهم ووعيد الله لهم",""
3,185,186,303,"الدنيا دار فناء وامتحان وفضل الصبر",""
3,187,188,404,"طبيعة أهل الكتاب بنبذ اليهود وبعض صفاتهم وعاقبتهم",""
3,189,190,102,"بيان وحدانية الله وقدرته",""
3,191,195,202,"أولو الألباب وتفكرهم في خلق الله والتجاؤهم إلى الله وثمرة ذلك",""
3,196,197,302,"النهي عن الاغترار بقوة الكفار وتسلطهم، وعاقبة الكفار",""
3,198,200,202,"المتقون وجزاؤهم، وبعض أهل الكتاب من المتقين، والأمر بالصبر وغير ذلك",""
4,1,1,101,"وحدة الأصل الإنساني ورابطة الرحم",""
4,2,6,501,"أحكام اليتامى وتعدد الزوجات وحكم المهور وحكم الحجر على السفهاء",""
4,7,11,501,"من أحكام المواريث وتحريم أكل أموال اليتامى ظلمًا",""
4,12,12,501,"من أحكام المواريث",""
4,13,13,202,"ثواب الطائعين لأحكام الله",""
4,14,14,302,"عاقبة العاصين لأحكام الله",""
4,15,16,501,"عقوبة الزنى قبل النسخ",""
4,17,18,104,"التوبة المقبولة والتوبة غير المقبولة",""
4,19,21,501,"أحكام تبين حقوق النساء والتحذير من الاعتداء على حقوقهن",""
4,22,24,501,"المحارم من النساء ووجوب مهورهن على أزواجهن",""
4,25,25,501,"حرمة زواج الأحرار بالإماء إلا بشروط، وعقوبة الإماء إذا فعلن الفاحشة",""
4,26,28,103,"من نعم الله على عباده",""
4,29,30,501,"حرمة أموال المسلمين وأنفسهم وعقوبة المعتدي عليهم",""
4,31,31,202,"ثواب اجتناب الكبائر تكفير الصغائر ودخول الجنة",""
4,32,33,202,"النهي عن الاعتماد على التمني والحث على الاعتماد على العمل والرضى بقضاء الله وقدره",""
4,34,35,501,"من أحكام الأسرة",""
4,36,36,105,"عبادة الله وحده والإحسان إلى عباده وخاصة ذوي الأرحام",""
4,37,39,302,"ذم البخلاء والمرائين",""
4,40,42,101,"عدل الله وفضله ووعيده لمن كفر",""
4,43,43,501,"من شروط الصلاة",""
4,44,55,302,"من قبائح اليهود وضلالاتهم وعقابهم",""
4,56,56,302,"عقاب الكافرين",""
4,57,57,202,"ثواب المؤمنين",""
4,58,59,501,"وجوب أداء الأمانة والحكم بالعدل وطاعة الله والرسول وأولي الأمر",""
4,60,68,302,"مزاعم المنافقين ومواقفهم",""
4,69,70,202,"ثواب الطائعين ومنزلتهم",""
4,71,84,203,"قواعد الجهاد في الإسلام ومواقف المنافقين منه والأمر بطاعة الله ورسوله في ذلك",""
4,85,86,501,"حكم الشفاعة الحسنة والشفاعة السيئة وحكم رد التحية",""
4,87,87,304,"يوم القيامة حق",""
4,88,91,302,"الانقسام إلى فئتين في معاملة المنافقين وكيفية معاملتهم",""
4,92,93,501,"حكم القتل الخطأ والقتل العمد",""
4,94,96,203,"وجوب التثبت في الحكم على الناس وخاصة في الجهاد",""
4,97,97,302,"فضل المجاهدين والتحذير من القعود عن الجهاد إلا للمستضعفين",""
4,98,99,203,"فضل المجاهدين والتحذير من القعود عن الجهاد إلا للمستضعفين",""
4,100,100,103,"فضل الهجرة في سبيل الله وسعة أرضه وثوابها",""
4,101,103,501,"حكم قصر الصلاة وحكم صلاة الخوف",""
4,104,104,203,"الحث على متابعة الأعداء وتحمل أعباء ذلك",""
4,105,113,401,"أمر النبي ﷺ بالعدل والقسط في الحكم بين الناس جميعًا وإلا وقع في الضلال",""
4,114,115,501,"التحذير من حصائد اللسان وفضل الكلام النافع والتحذير من مخالفة طريق الرسول والمؤمنين وعاقبة ذلك",""
4,116,126,301,"خطر الشرك والشيطان",""
4,122,126,202,"جزاء الإيمان والعمل الصالح وعدم الجزاء على الأماني",""
4,127,130,501,"من أحكام النساء والأسرة",""
4,131,134,101,"توحيد الله في ملكه لكل شيء وهو وحده الذي يملك ثواب الدنيا والآخرة",""
4,135,136,105,"الأمر بالقسط والإيمان بأركان الإيمان",""
4,137,147,302,"المنافقون ومواقفهم وجزاؤهم والتحذير منهم والنهي عن موالاة الكافرين",""
4,148,149,202,"المؤمن لا يجهر بالسوء بل يعفو عنه ويبدي الخير",""
4,150,151,302,"بعض أعمال الكافرين وعقابهم",""
4,152,152,202,"عمل المؤمن وثوابه",""
4,153,161,404,"أحوال بني إسرائيل مع أنبيائهم ونقضهم مواثيقهم وعقابهم",""
4,162,162,202,"أحوال المؤمنين من بني إسرائيل وثوابهم",""
4,163,166,404,"وحدة الوحي لجميع الرسل وكثرة الرسل والحكمة من إرسالهم",""
4,167,170,302,"جزاء الكافرين",""
4,171,173,404,"نهي أهل الكتاب عن الغلو في الدين وفي شأن عيسى عليه السلام",""
4,174,175,202,"ثواب المهتدين",""
4,176,176,501,"حكم ميراث الإخوة الأشقاء أو لأب",""
5,1,5,501,"وجوب الإيفاء بالعقود وبيان ما أحل الله وما حرم",""
5,6,6,501,"وجوب الوضوء والغسل، وعند فقد الماء التيمم",""
5,7,11,103,"التذكير بالنعم والمواثيق والأمر بالقسط في الحكم والشهادة",""
5,12,14,404,"بعض أحوال أهل الكتاب في نقضهم المواثيق",""
5,15,16,601,"تذكير أهل الكتاب بالرسول محمد ﷺ وبالقرآن الذي يفضح بعضهم ويهدي البشرية",""
5,17,19,305,"من افتراءات أهل الكتاب والرد عليهم",""
5,20,26,404,"من مواقف اليهود مع نبيهم موسى عليه السلام",""
5,27,31,404,"قصة هابيل وقابيل وأول جريمة قتل في الأرض",""
5,32,34,501,"حكم القتل والفساد في الأرض وجزاؤه",""
5,35,35,202,"فضيلة التقرب إلى الله بالعمل الصالح",""
5,36,37,302,"بيان عقاب الكفار يوم القيامة",""
5,38,40,501,"حكم السرقة وحدها",""
5,41,43,302,"تسلية النبي ﷺ لما كان يلقاه من اليهود والمنافقين وبيان عاقبتهم وكيفية معاملتهم",""
5,44,50,601,"التوراة والإنجيل والقرآن كتب سماوية يصدق بعضها بعضًا والقرآن ناسخ لما قبله والحكم به واجب",""
5,51,58,501,"حرمة موالاة غير المؤمنين ووجوب موالاة الله والرسول والمؤمنين",""
5,59,68,404,"من قبائح أهل الكتاب وخاصة اليهود مع المؤمنين ومع ربهم",""
5,69,69,202,"من قبائح أهل الكتاب وخاصة اليهود مع المؤمنين ومع ربهم",""
5,70,71,404,"من قبائح أهل الكتاب وخاصة اليهود مع المؤمنين ومع ربهم",""
5,72,76,305,"شرك النصارى بالله والرد عليهم",""
5,77,81,404,"نهي أهل الكتاب عن الغلو في الدين وسبب لعن الكافرين منهم",""
5,82,82,302,"اليهود والمشركون أشد عداوة، ومن النصارى مؤمنون صادقون",""
5,83,85,202,"اليهود والمشركون أشد عداوة، ومن النصارى مؤمنون صادقون",""
5,86,86,302,"اليهود والمشركون أشد عداوة، ومن النصارى مؤمنون صادقون",""
5,87,88,501,"ما أحل الله هو الطيب الذي يجب الأكل منه ولا يجوز تحريمه",""
5,89,89,501,"حكم اليمين وكفارة الحنث به",""
5,90,93,501,"النهي عن الخمر والميسر والأنصاب والأزلام وفضيلة التوبة من ذلك",""
5,94,100,501,"حكم الصيد في حالة الإحرام في البر والبحر وجزاؤه وحرمة الأشهر الحرم",""
5,101,105,305,"النهي عن كثرة السؤال والرد على ضلالات أهل الجاهلية وإرشاد المؤمنين بعدم الاغترار بهذه الضلالات",""
5,106,108,501,"حكم الإشهاد على الوصية عند الموت",""
5,109,109,304,"سؤال الرسل يوم القيامة عن إجابة قومهم لهم",""
5,110,115,404,"عيسى بن مريم ومعجزاته وقصة المائدة التي طلبها قومه",""
5,116,118,305,"محاورة بين الله سبحانه وعيسى ﷺ تتضمن الرد على مزاعم النصارى",""
5,119,120,102,"جزاء الصادقين يوم القيامة وبعض الدلائل على قدرة الله سبحانه",""
6,1,3,102,"بعض دلائل قدرة الله سبحانه ووحدانيته",""
6,4,11,302,"تعنت المشركين وجدالهم بالباطل وعاقبة كفرهم",""
6,12,18,101,"بعض دلائل وحدانية الله سبحانه ودلائل البعث بعد الموت",""
6,19,19,401,"شهادة الله لنبيه بالرسالة وشهادة النبي ﷺ له بالوحدانية",""
6,20,26,302,"معرفة أهل الكتاب النبي ﷺ وتكذيبهم به",""
6,27,32,304,"من مواقف يوم القيامة وجواب المشركين عند سؤالهم عند سوئهم",""
6,33,36,401,"تسلية للنبي ﷺ وتثبيت لفؤاده بسبب ما يلقاه من تعنت المشركين",""
6,37,39,101,"بيان تمام قدرة الله وإحاطة علمه بكل شيء",""
6,40,45,302,"الضراء والسراء وتقلب مواقف المشركين منهم",""
6,46,47,102,"من أدلة قدرة الله سبحانه",""
6,48,49,403,"مهمة الرسل وانقسام الناس بهم لمؤمن وكافر",""
6,50,58,401,"حقيقة الرسول ﷺ وأنه بشر ومهمته",""
6,59,67,102,"كمال علم الله في الكليات والجزئيات وكمال قدرته على عباده",""
6,68,70,302,"وجوب الإعراض عن مجالسة المستهزئين بالنبي ﷺ أو القرآن وعقابهم",""
6,71,73,305,"الرد على المشركين وتحذيرهم من يوم القيامة",""
6,74,83,404,"محاورة إبراهيم لأبيه وقومه وإقامة الحجة عليهم في توحيد الله تعالى",""
6,84,90,404,"هداية الله للأنبياء واصطفاؤه لهم وحقيقتهم وأمره بالاقتداء بهم",""
6,91,91,305,"الرد على بعض اليهود الذين أنكروا إنزال الله شيئًا على أحد من البشر ومهمة القرآن",""
6,92,92,601,"الرد على بعض اليهود الذين أنكروا إنزال الله شيئًا على أحد من البشر ومهمة القرآن",""
6,93,94,302,"عقاب الذين يفترون الكذب يوم القيامة",""
6,95,99,102,"بعض مظاهر قدرة الله ونعمه على عباده",""
6,100,103,305,"الرد على افتراءات المشركين على الله بجعل البنين والصاحبة له",""
6,104,107,401,"حقيقة الرسول ﷺ",""
6,108,108,501,"تقرير مبدأ سد الذرائع بمنع سب آلهة المشركين لئلا يسبوا الله جهلًا",""
6,109,113,302,"تعنت المشركين في طلب الآيات ووعيدهم على ذلك",""
6,114,115,401,"شهادة الله بصدق الرسول فيما ينزل عليه من ربه",""
6,116,117,303,"صفة أكثر الناس وعلم الله بما في نفوسهم",""
6,118,121,501,"بيان ما يحل وما يحرم من الذبائح",""
6,122,122,701,"مثال المؤمن والكافر",""
6,123,124,302,"مكر المجرمين وعاقبتهم",""
6,125,125,701,"مثل المهتدي والضال",""
6,126,127,202,"ثواب المهتدين",""
6,128,133,303,"من مشاهد يوم القيامة",""
6,134,135,302,"تهديد وإنذار للعصاة",""
6,136,140,305,"صور من افتراءات المشركين والرد عليهم",""
6,141,144,101,"من مظاهر قدرة الله ونعمه مع الرد على افتراءات المشركين",""
6,145,147,501,"بيان ما حرمه الله في القرآن علينا ثم ما حرمه في التوراة على اليهود",""
6,148,150,305,"الرد على شبهة المشركين الواهية",""
6,151,153,501,"أصول المحرمات وأصول الفضائل في الإسلام",""
6,154,157,302,"ما أنزل الله من كتاب إلا فيه الهداية ويجب اتباعه ووعيد لمن خالفه",""
6,158,160,304,"تهديد بالموت ويوم القيامة وما يسبقه من علامات",""
6,161,165,102,"ذكر تسمية الله بالهداية والعبادة الخالصة له وحده لأنه القادر المتفضل",""
7,1,3,601,"تثبيت اليقين أن القرآن حق من عند الله ووجوب اتباعه دون غيره",""
7,4,9,302,"عاقبة العصاة والمكذبين في الدنيا والآخرة",""
7,10,25,403,"قصة التمكين في الأرض ورفض إبليس للسجود لآدم واستجابة آدم لوسوسته مما أخرجه من الجنة وأهبطه إلى الأرض",""
7,26,27,103,"خطاب بني آدم يذكر فضل الله عليهم ثم تحذيرهم من شر وسوسة الشيطان",""
7,28,33,305,"الرد على ضلالات الكفار في العقيدة وتحريم الزينة والطيبات وبيان ما حرم الله",""
7,34,34,303,"الموت نهاية كل فرد وأمة",""
7,35,35,403,"مهمة الرسل وجزاء المؤمنين بهم",""
7,36,39,303,"حال الكافرين بالرسل عند الاحتضار ويوم القيامة في النار",""
7,40,41,302,"جزاء الكافرين يوم القيامة",""
7,42,43,202,"ثواب المؤمنين يوم القيامة",""
7,44,49,202,"محاورة ونداء من أصحاب الجنة لأصحاب النار وأصحاب الأعراف",""
7,50,51,302,"محاورة ونداء من أصحاب النار لأصحاب الجنة",""
7,52,53,304,"إقامة الحجة على الكافرين بنزول القرآن واعترافهم يوم القيامة بصدق الرسل، وأمانيهم الباطلة",""
7,54,56,102,"من دلائل قدرة الله سبحانه وسعة رحمته",""
7,57,58,701,"ضرب الأمثلة لإثبات إحياء الموتى للمؤمن والكافر",""
7,59,64,404,"قصة نوح عليه السلام",""
7,65,72,404,"قصة هود عليه السلام",""
7,73,79,404,"قصة صالح عليه السلام",""
7,80,84,404,"قصة لوط عليه السلام",""
7,85,93,404,"قصة شعيب عليه السلام",""
7,94,95,103,"سنة الله في استدراج الأمم بين الضراء والسراء قبل إهلاكهم",""
7,96,102,302,"طبيعة الكفار وتهديدهم",""
7,103,129,404,"قصة موسى عليه السلام مع فرعون وقومه",""
7,130,136,302,"عقاب آل فرعون بعد عنادهم",""
7,137,141,103,"تذكير بني إسرائيل بتمكينهم في الأرض بعد أن كانوا مستضعفين وتذكيرهم بنجاتهم من بلاء آل فرعون العظيم وجهلهم بطلب عبادة غير الله",""
7,142,145,404,"قصة مناجاة موسى ربه وطلبه رؤية الله سبحانه ونزول التوراة عليه",""
7,146,147,302,"عقوبة المتكبرين والمكذبين",""
7,148,154,404,"إضلال السامري لبني إسرائيل في غياب موسى وموقف موسى منهم",""
7,155,156,404,"ذهاب موسى للاعتذار من عبادة العجل بخيار بني إسرائيل وما حصل لهم",""
7,157,158,401,"وجوب اتباع بني إسرائيل للنبي ﷺ في كل ما جاء به وأن رسالته عامة لكل البشر",""
7,159,159,404,"اتباع بعض بني إسرائيل للحق",""
