id,surah_number,ayah_number,word,word_plain,meaning,sort_order,ayah_id
14,2,2,لَا رَيۡبَ فِيهِ,لا ريب فيه,لا شكَّ أنَّه مِنْ عندِ اللهِ.,2,18717
15,2,2,لِلۡمُتَّقِينَ,للمتقين,الذين يَخافون اللهَ، ويتَّبعون أحكامَه.,3,18717
16,2,3,يُؤۡمِنُونَ,يؤمنون,يُصَدِّقُون.,1,18718
17,2,3,بِٱلۡغَيۡبِ,بٱلغيب,بما لا يُدْرَكُ بالحواسِّ والعُقولِ، فلا يُعْرَفُ إلا بالوَحْيِ، كالإيمانِ بالملائكةِ.,2,18718
18,2,3,وَيُقِيمُونَ ٱلصَّلَوٰةَ,ويقيمون ٱلصلوة,يحافظون على أدائِها في مواقيتِها، وَفْقَ ما شَرَعَ اللهُ.,3,18718
19,2,4,بِمَآ أُنزِلَ إِلَيۡكَ,بما أنزل إليك,إلى محمدٍ ﷺ، مِنَ القرآنِ والسُّنَّةِ.,1,18719
20,2,4,وَمَآ أُنزِلَ مِن قَبۡلِكَ,وما أنزل من قبلك,مِنْ كُتُبٍ كالتَّوراةِ والإنجيلِ.,2,18719
21,2,4,وَبِٱلۡأٓخِرَةِ هُمۡ يُوقِنُونَ,وبٱلأخرة هم يوقنون,يُصَدِّقُون بدارِ الحياةِ بعد الموتِ، وما فيها مِنَ الحِسابِ.,3,18719
22,2,5,ٱلۡمُفۡلِحُونَ,ٱلمفلحون,الفائِزون.,1,18720
23,2,6,كَفَرُواْ,كفروا,لم يُؤْمِنُوا بالله ورَسُولهِ ولم يَلْتَزِموا بِدين الإِسْلَام.,1,18721
24,2,6,سَوَآءٌ,سواء,مُتَساوٍ.,2,18721
25,2,6,ءَأَنذَرۡتَهُمۡ,ءأنذرتهم,أخَوَّفْتَهم وحَذَّرْتَهم.,3,18721
26,2,7,خَتَمَ,ختم,طَبَعَ عليها، فلا تَعِي خيراً.,1,18722
27,2,7,غِشَٰوَةٞ,غشوة,غطاءٌ، فلم يُوَفِّقْهم للهُدى.,2,18722
28,2,7,عَذَابٌ,عذاب,نارُ جَهنَّمَ في الآخِرَةِ.,3,18722
29,2,8,وَمِنَ ٱلنَّاسِ,ومن ٱلناس,فريقُ المُنافقين الذين يَقُولون بألسِنَتِهم: صَدَّقْنا، وهم في باطنِهم مُكَذِّبُون.,1,18723
30,2,9,يُخَٰدِعُونَ,يخدعون,يُظْهِرُون خِلافَ ما يُضْمِرُون.,1,18724
31,2,9,وَمَا يَشۡعُرُونَ,وما يشعرون,وما يُحِسُّون بذلك؛ لفسادِ قُلوبهِم.,2,18724
32,2,10,مَرَضٞ,مرض,شكٌّ وفسادٌ.,1,18725
33,2,11,لَا تُفۡسِدُواْ,لا تفسدوا,بالمعاصِي، وإفشاءِ أسرارِ المؤمنين، ومُوالاةِ الكافرين.,1,18726
34,2,13,ءَامِنُواْ,ءامنوا,صَدِّقُوا بقُلوبِكم، وألسنتِكم، وجَوارِحِكم.,1,18728
35,2,13,ٱلسُّفَهَآءُ,ٱلسفهاء,ضعافُ العقولِ والرأيِ، يَعْنُون بهم الصَّحابةَ رَضِيَ اللهُ عَنْهُم.,2,18728
36,2,13,لَا يَعۡلَمُونَ,لا يعلمون,ما هم فيه مِنَ الخُسرانِ.,3,18728
37,2,14,شَيَٰطِينِهِمۡ,شيطينهم,زُعَمائِهم.,1,18729
38,2,14,مُسۡتَهۡزِءُونَ,مستهزءون,مُسْتَخِفُّون بالمؤمنين، ساخرُون منهم.,2,18729
39,2,15,وَيَمُدُّهُمۡ,ويمدهم,ويُمْهِلُهم.,1,18730
40,2,15,طُغۡيَٰنِهِمۡ,طغينهم,ضَلالَتِهم.,2,18730
41,2,15,يَعۡمَهُونَ,يعمهون,يَتَردَّدُون.,3,18730
42,2,16,ٱشۡتَرَوُاْ ٱلضَّلَٰلَةَ بِٱلۡهُدَىٰ,ٱشتروا ٱلضللة بٱلهدى,استبدَلُوا الكفرَ بالإيمانِ.,1,18731
43,2,17,مَثَلُهُمۡ,مثلهم,شَبَهُ المنافقين.,1,18732
44,2,17,ٱسۡتَوۡقَدَ,ٱستوقد,أوقَدَ.,2,18732
45,2,17,أَضَآءَتۡ,أضاءت,سَطَعَتْ وأنارَتْ.,3,18732
46,2,18,صُمُّۢ,صم,الصَّمَمَ: انْسِدَادُ الأُذُنِ، أي: عَنْ سَماعِ الحقِّ سمَاعَ تَدَبُّر.,1,18733
47,2,18,بُكۡمٌ,بكم,البَكَمُ: الخَرَسُ، وانْعِدَامُ النُّطْقِ، أَيْ: خُرْسٌ عن النُّطْق بالحَقِّ.,2,18733
48,2,18,عُمۡيٞ,عمي,عَنْ إبصارِ نورِ الهدايةِ.,3,18733
49,2,18,لَا يَرۡجِعُونَ,لا يرجعون,لا يعُودون إلى الإيمانِ.,4,18733
50,2,19,كَصَيِّبٖ,كصيب,الصَّيِّب: المَطَرُ الشَّديدُ، أَيْ: كحَالِ جَماعَةٍ أصَابَهُم مَطَرٌ شَدِيد.,1,18734
51,2,19,ٱلصَّوَٰعِقِ,ٱلصوعق,جَمْعُ صاعِقَةٍ، وهي العذابُ المُهْلِكُ المُحْرِقُ.,2,18734
52,2,19,مُحِيطُۢ بِٱلۡكَٰفِرِينَ,محيط بٱلكفرين,لا يَفُوتونه، ولا يُعْجِزُونه.,3,18734
53,2,20,يَكَادُ,يكاد,يُقارِبُ.,1,18735
54,2,20,يَخۡطَفُ,يخطف,يَسْلُبُ من شِدَّةِ لَمَعانِه.,2,18735
55,2,20,قَامُواْ,قاموا,وَقَفُوا في أماكنِهم مُتَحَيِّرين.,3,18735
56,2,21,لَعَلَّكُمۡ تَتَّقُونَ,لعلكم تتقون,لتَتَّقُوه بطاعَتِه.,1,18736
57,2,22,جَعَلَ,جعل,صَيَّر.,1,18737
58,2,22,فِرَٰشٗا,فرشا,بِساطاً تَسْهُلُ حياتُكم عليه.,2,18737
59,2,22,أَندَادٗا,أندادا,نُظَراءَ في العبادةِ.,3,18737
60,2,22,تَعۡلَمُونَ,تعلمون,تَعْلَمُون تَفَرُّدَه بالخَلْقِ، والرَّزقِ، واستحقاقِه العبوديةَ.,4,18737
61,2,23,رَيۡبٖ,ريب,شكٍّ.,1,18738
62,2,23,مِن مِّثۡلِهِۦ,من مثله,تُماثِلُ سورةً منه.,2,18738
63,2,23,شُهَدَآءَكُم,شهداءكم,أعوانَكم الذين يَشْهدون لكم.,3,18738
64,2,24,لَن تَفۡعَلُواْ,لن تفعلوا,مستقبلاً.,1,18739
65,2,24,وَقُودُهَا,وقودها,حَطَبُها.,2,18739
66,2,24,أُعِدَّتۡ,أعدت,هُيِّئَتْ.,3,18739
67,2,25,وَبَشِّرِ,وبشر,أخبِرْهم بما يَسُرُّهم.,1,18740
68,2,25,مِن تَحۡتِهَا,من تحتها,من تحتِ قُصُورِ الجنَّاتِ العاليةِ وأشجارِها الظَّليلةِ.,2,18740
69,2,25,مِن قَبۡلُ,من قبل,في الدُّنيا.,3,18740
70,2,25,مُتَشَٰبِهٗا,متشبها,وَجَدُوا طَعماً جديداً، وإنْ تَشابَه مع سابقِه.,4,18740
71,2,25,مُطَهَّرَةٞ,مطهرة,من الدَّنَسِ الحِسِّي كالحَيْضِ، والمعنويِّ كالكَذِبِ.,5,18740
72,2,26,لَا يَسۡتَحۡيِۦٓ,لا يستحي,من الحقِّ أنْ يذْكُرَ شيئاً مّا، صغيراً أو كبيراً.,1,18741
73,2,26,فَمَا فَوۡقَهَا,فما فوقها,فما هو أكبرُ منها.,2,18741
74,2,26,ٱلۡفَٰسِقِينَ,ٱلفسقين,الخارجين عن طاعةِ الله.,3,18741
75,2,27,يَنقُضُونَ,ينقضون,يَنْكُثون.,1,18742
76,2,27,عَهۡدَ ٱللَّهِ,عهد ٱلله,العهدَ الذي أخذه عليهم بالتوحيدِ والطَّاعةِ.,2,18742
77,2,27,مِنۢ بَعۡدِ مِيثَٰقِهِۦ,من بعد ميثقه,مِنْ بعدِ تأكيدِه باليمينِ.,3,18742
78,2,28,أَمۡوَٰتٗا,أموتا,عَدَماً غيرَ مخلوقِين.,1,18743
79,2,28,فَأَحۡيَٰكُمۡ,فأحيكم,فأنشأكم بَشَراً سويّاً.,2,18743
80,2,28,يُحۡيِيكُمۡ,يحييكم,يوَم البَعْثِ.,3,18743
81,2,29,ٱسۡتَوَىٰٓ إِلَى ٱلسَّمَآءِ,ٱستوى إلى ٱلسماء,ارتفعَ.,1,18744
82,2,29,فَسَوَّىٰهُنَّ,فسوىهن,خَلَقَهُنَّ مُسْتَوِياتٍ، وَدبَّرَهُنَّ، وقَدَّرَ ما في كلِّ واحدةٍ منهنَّ.,2,18744
83,2,30,خَلِيفَةٗ,خليفة,قوماً يَخْلُف بعضُهم بعضاً؛ لعِمارةِ الأرضِ.,1,18745
84,2,30,يَسۡفِكُ ٱلدِّمَآءَ,يسفك ٱلدماء,يُريقُها بغيرِ حَقٍّ.,2,18745
85,2,30,نُسَبِّحُ بِحَمۡدِكَ,نسبح بحمدك,نُنَزِّهُك التنزيهَ اللائقَ.,3,18745
86,2,30,وَنُقَدِّسُ لَكَ,ونقدس لك,نُمَجِّدُك، ونُطَهِّرُ ذِكْرَك عَمَّا لا يَليقُ بك.,4,18745
87,2,31,ٱلۡأَسۡمَآءَ,ٱلأسماء,أسماءَ الأشياءِ كُلَّها، التي يَتَعارَفُ بها الناسُ.,1,18746
88,2,31,هَٰٓؤُلَآءِ,هؤلاء,الموجوداتِ التي عَلَّمَها آدمَ.,2,18746
89,2,32,سُبۡحَٰنَكَ,سبحنك,تَنْزيهاً للهِ.,1,18747
90,2,33,بِأَسۡمَآئِهِمۡ,بأسمائهم,بأسماءِ الأشياءِ التي عَجَزُوا عن معرفتِها.,1,18748
91,2,33,تُبۡدُونَ,تبدون,تُظْهِرُون.,2,18748
92,2,33,تَكۡتُمُونَ,تكتمون,تُخْفُون.,3,18748
93,2,34,ٱسۡجُدُواْ لِأٓدَمَ,ٱسجدوا لأدم,إكراماً له، وإظهاراً لفَضْلهِ.,1,18749
94,2,34,أَبَىٰ,أبى,تَكَبُّراً وحَسَداً.,2,18749
95,2,34,وَٱسۡتَكۡبَرَ,وٱستكبر,استعظمَ نفسَه.,3,18749
96,2,35,رَغَدًا,رغدا,هنيئاً واسعاً.,1,18750
97,2,35,ٱلظَّٰلِمِينَ,ٱلظلمين,المتجاوِزين أمرَ اللهِ.,2,18750
98,2,36,فَأَزَلَّهُمَا ٱلشَّيۡطَٰنُ عَنۡهَا,فأزلهما ٱلشيطن عنها,فأوْقَعَهما الشيطانُ في الخطيئةِ ليُبْعِدَهما عَنِ الجنةِ.,1,18751
99,2,36,بَعۡضُكُمۡ لِبَعۡضٍ,بعضكم لبعض,آدمُ، وحواءُ، والشيطانُ.,2,18751
100,2,36,مَتَٰعٌ,متع,انتفاعٌ، واستمتاعٌ.,3,18751
101,2,36,إِلَىٰ حِينٖ,إلى حين,إلى وقتِ انتهاءِ آجالِكم.,4,18751
2165,6,108,عَدۡوَۢا,عدوا,اعتداءً.,2,19605
102,2,37,كَلِمَٰتٖ,كلمت,ما أَلْهمه اللهُ مِنْ كلماتٍ للتَّوبةِ.,1,18752
103,2,38,فَلَا خَوۡفٌ,فلا خوف,آمِنُون من أهوالِ القيامةِ.,1,18753
104,2,38,وَلَا هُمۡ يَحۡزَنُونَ,ولا هم يحزنون,على ما فاتَهم من الدُّنيا.,2,18753
105,2,40,ٱذۡكُرُواْ نِعۡمَتِيَ,ٱذكروا نعمتي,اصطفائي للرُّسُلِ منكم، وإنزالَ الكتبِ عليكم، وإنْجَاءَكُمْ من فرعونَ.,1,18755
106,2,40,وَأَوۡفُواْ بِعَهۡدِيٓ,وأوفوا بعهدي,أتِمُّوا وَصِيَّتي لكم بالإيمان بكتبي وبرُسُلي جميعاً.,2,18755
107,2,40,أُوفِ بِعَهۡدِكُمۡ,أوف بعهدكم,ما وَعَدْتُكم به من الرحمةِ في الدنيا والآخرةِ.,3,18755
108,2,41,أَوَّلَ كَافِرِۭ بِهِۦ,أول كافر به,بالقرآنِ.,1,18756
109,2,41,وَلَا تَشۡتَرُواْ بِـَٔايَٰتِي ثَمَنٗا قَلِيلٗا,ولا تشتروا بـايتي ثمنا قليلا,ولا تَبيعُوا ما آتَيْتُكُم من العِلْم بما في كتابِكم من أمرِ محمدٍ ﷺ، بثمَنٍ بَخْس.,2,18756
110,2,42,وَلَا تَلۡبِسُواْ,ولا تلبسوا,ولا تَخْلِطُوا.,1,18757
111,2,42,وَتَكۡتُمُواْ ٱلۡحَقَّ,وتكتموا ٱلحق,وتُخْفُوا صفةَ محمدٍ ﷺ في التوراةِ.,2,18757
112,2,44,بِٱلۡبِرِّ,بٱلبر,بالطاعةِ، والعملِ الصالحِ.,1,18759
113,2,44,ٱلۡكِتَٰبَ,ٱلكتب,التوراةَ.,2,18759
114,2,45,لَكَبِيرَةٌ,لكبيرة,شاقةٌ ثقيلةٌ.,1,18760
115,2,45,ٱلۡخَٰشِعِينَ,ٱلخشعين,الخاضِعين لطاعَتهِ.,2,18760
116,2,46,يَظُنُّونَ,يظنون,يُوقِنون.,1,18761
117,2,47,ٱلۡعَٰلَمِينَ,ٱلعلمين,عالَمِي زمانِكم؛ بكثرةِ الأنبياءِ، وإنزالِ الكتبِ.,1,18762
118,2,48,يَوۡمٗا,يوما,يومَ القيامةِ.,1,18763
119,2,48,لَا تَجۡزِي نَفۡسٌ,لا تجزي نفس,لا يُغني أحدٌ عن أحدٍ شيئاً.,2,18763
120,2,48,عَدۡلٞ,عدل,فِدْيةٌ.,3,18763
121,2,49,نَجَّيۡنَٰكُم,نجينكم,نَجَّينا آباءَكم.,1,18764
122,2,49,يَسۡتَحۡيُونَ نِسَآءَكُمۡ,يستحيون نساءكم,يَسْتَبْقُونَهُن للخِدْمةِ والامتهانِ.,2,18764
123,2,49,بَلَآءٞ,بلاء,اختبارٌ.,3,18764
124,2,50,فَرَقۡنَا بِكُمُ ٱلۡبَحۡرَ,فرقنا بكم ٱلبحر,فَصَلْنا لكم البحرَ، وجَعَلْنا فيه طُرُقاً يابسةً لعُبورِكم.,1,18765
125,2,51,ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ,ٱتخذتم ٱلعجل,أي مَعبْوداً لكم من دونِ اللهِ.,1,18766
126,2,53,ٱلۡكِتَٰبَ,ٱلكتب,التوراةَ.,1,18768
127,2,53,ٱلۡفُرۡقَانَ,ٱلفرقان,الفارقَ بينَ الحقِّ والباطلِ.,2,18768
128,2,54,فَٱقۡتُلُوٓاْ أَنفُسَكُمۡ,فٱقتلوا أنفسكم,بأَنْ يَقْتُلَ بعضُكم بعضاً.,1,18769
129,2,55,جَهۡرَةٗ,جهرة,عِياناً.,1,18770
130,2,55,ٱلصَّٰعِقَةُ,ٱلصعقة,نارٌ مِنَ السماءِ.,2,18770
131,2,57,ٱلۡغَمَامَ,ٱلغمام,السَّحابَ.,1,18772
132,2,57,ٱلۡمَنَّ,ٱلمن,شيءٌ يُشْبه الصَّمْغَ، طَعْمُه كالعَسَلِ.,2,18772
133,2,57,ٱلسَّلۡوَىٰ,ٱلسلوى,طيرٌ يُشْبِهُ السُّمانىٰ.,3,18772
134,2,58,ٱلۡقَرۡيَةَ,ٱلقرية,بيتَ المَقْدِسِ.,1,18773
135,2,58,رَغَدٗا,رغدا,هنيئاً.,2,18773
136,2,58,حِطَّةٞ,حطة,ربَّنا ضَعْ عنا ذُنوبَنا.,3,18773
137,2,59,رِجۡزٗا,رجزا,عذاباً.,1,18774
138,2,59,يَفۡسُقُونَ,يفسقون,يَخْرُجون عن طاعةِ اللهِ.,2,18774
139,2,60,ٱسۡتَسۡقَىٰ,ٱستسقى,سألَ اللهَ أنَ يَسْقِيَ قومَه.,1,18775
140,2,60,وَلَا تَعۡثَوۡاْ,ولا تعثوا,ولا تُفْرِطُوا في الفسادِ.,2,18775
141,2,61,وَقِثَّآئِهَا,وقثائها,جَمْعُ قِثَّاءَةٍ، وهو نَبْتٌ ثِمارُه تُشْبِهُ الخِيارَ، ولكنه أطولُ منه.,1,18776
142,2,61,وَفُومِهَا,وفومها,الحِنْطَةِ.,2,18776
143,2,61,ٱلَّذِي هُوَ أَدۡنَىٰ,ٱلذي هو أدنى,الطعامَ الذي هو أقلُّ قَدْراً وقيمةً.,3,18776
144,2,61,مِصۡرٗا,مصرا,أيَّ مدينةٍ.,4,18776
145,2,61,ٱلۡمَسۡكَنَةُ,ٱلمسكنة,الفاقَةُ والحاجَةُ.,5,18776
146,2,61,وَبَآءُو,وباءو,رَجَعُوا.,6,18776
147,2,62,وَٱلَّذِينَ هَادُواْ,وٱلذين هادوا,اليهودَ.,1,18777
148,2,62,ٱلصَّـٰبِـِٔينَ,ٱلصـبـين,قومٌ كانوا على فِطْرتهم وحَنِيفيَّتِهم، ثمَّ طَرَأَ عَلى أكْثَرِهِم الشِّركُ وعِبادَةُ الكواكب.,2,18777
149,2,62,وَلَا هُمۡ يَحۡزَنُونَ,ولا هم يحزنون,على ما فاتَهُمْ من أمورِ الدُّنيا.,3,18777
150,2,63,مِيثَٰقَكُمۡ,ميثقكم,العهدَ المؤكَّدَ منكم بالإيمان.,1,18778
151,2,63,ٱلطُّورَ,ٱلطور,جبلَ سَيْناءَ.,2,18778
152,2,63,مَآ ءَاتَيۡنَٰكُم,ما ءاتينكم,الكتابَ الذي أعطيناكم، وهو التَّوراةُ.,3,18778
153,2,63,بِقُوَّةٖ,بقوة,بجِدٍّ.,4,18778
154,2,64,تَوَلَّيۡتُم,توليتم,عَصَيْتُم.,1,18779
155,2,65,فِي ٱلسَّبۡتِ,في ٱلسبت,في هذا اليومِ الذي أُمِرُوا بتعظيمِه.,1,18780
156,2,65,خَٰسِـِٔينَ,خسـين,أذِلَّةً صاغِرين.,2,18780
157,2,66,نَكَٰلٗا,نكلا,عقوبةً.,1,18781
158,2,66,لِمَا بَيۡنَ يَدَيۡهَا,لما بين يديها,من الذنوبِ.,2,18781
159,2,67,هُزُوٗا,هزوا,مَوْضِعَ سُخْرِيَةٍ واستِخْفافٍ.,1,18782
160,2,68,فَارِضٞ,فارض,المُسِنَّةُ الهَرِمَةُ.,1,18783
161,2,68,بِكۡرٌ,بكر,الصغيرةُ الفَتِيَّةُ.,2,18783
162,2,68,عَوَانُۢ,عوان,متوسطةٌ بين البِكْرِ والهَرِمَةِ.,3,18783
163,2,69,فَاقِعٞ لَّوۡنُهَا,فاقع لونها,شديدةُ الصُّفْرَةِ.,1,18784
164,2,70,تَشَٰبَهَ,تشبه,التبسَ.,1,18785
165,2,71,لَا ذَلُولٞ تُثِيرُ ٱلۡأَرۡضَ,لا ذلول تثير ٱلأرض,غيرُ مُذَلَّلَةٍ للعَمَلِ في حِراثةِ الأرضِ.,1,18786
166,2,71,ٱلۡحَرۡثَ,ٱلحرث,الزرعَ.,2,18786
167,2,71,مُسَلَّمَةٞ,مسلمة,خاليةٌ مِنَ العيوبِ.,3,18786
168,2,71,لَا شِيَةَ فِيهَا,لا شية فيها,لا لَوْنَ فيها يخالِفُ لَوْنَ جِلْدِها.,4,18786
169,2,72,فَٱدَّٰرَٰٔتُمۡ,فٱدرتم,فاختلفتم، كلٌّ يَدْفَعُ عن نفسِه تُهْمَةَ القتلِ.,1,18787
170,2,72,مُخۡرِجٞ,مخرج,مُظْهِرٌ.,2,18787
171,2,73,بِبَعۡضِهَا,ببعضها,بجُزْءٍ مِنَ البقرةِ المذبوحةِ.,1,18788
172,2,73,ءَايَٰتِهِۦ,ءايته,معجزاتِهِ، وحُجَجَه.,2,18788
173,2,75,أَن يُؤۡمِنُواْ لَكُمۡ,أن يؤمنوا لكم,أن يُصَدِّقَ اليهودُ بدينِكم.,1,18790
174,2,75,كَلَٰمَ ٱللَّهِ,كلم ٱلله,التوراةَ.,2,18790
175,2,75,يُحَرِّفُونَهُۥ,يحرفونه,يَصْرِفُونه عن معناه.,3,18790
176,2,75,عَقَلُوهُ,عقلوه,فَهِمُوه على الوجهِ الصَّحيحِ.,4,18790
177,2,76,بِمَا فَتَحَ,بما فتح,بما بَيَّنَ اللهُ لكم في التوراةِ من أَمْرِ محمدٍ ﷺ.,1,18791
178,2,76,لِيُحَآجُّوكُم,ليحاجوكم,لتكونَ لهم الحُجَّةُ عليكم في الآخرةِ.,2,18791
179,2,78,وَمِنۡهُمۡ أُمِّيُّونَ,ومنهم أميون,ومن اليهودِ طائفةٌ يَجْهَلُون القراءةَ والكتابةَ.,1,18793
180,2,78,ٱلۡكِتَٰبَ,ٱلكتب,التوراةَ وما فيها من صفاتِ محمدٍ ﷺ.,2,18793
181,2,78,أَمَانِيَّ,أماني,أكاذيبَ.,3,18793
182,2,79,فَوَيۡلٞ,فويل,فوعيدٌ شديدٌ.,1,18794
183,2,79,ثَمَنٗا قَلِيلٗا,ثمنا قليلا,عَرَضاً مِنَ الدنيا.,2,18794
184,2,80,عَهۡدٗا,عهدا,ميثاقاً بهذا الزعمِ.,1,18795
185,2,81,سَيِّئَةٗ,سيئة,شِرْكاً.,1,18796
186,2,83,مِيثَٰقَ,ميثق,العهدَ المؤكَّدَ.,1,18798
187,2,83,ٱلۡيَتَٰمَىٰ,ٱليتمى,الأولادِ الَّذين ماتَ آباؤُهم وهم دونَ البُلوغِ.,2,18798
188,2,83,وَٱلۡمَسَٰكِينِ,وٱلمسكين,الذين لا يَمْلِكُون ما يَكْفيهم.,3,18798
189,2,83,حُسۡنٗا,حسنا,أطيبَ الكلامِ.,4,18798
190,2,83,مُعۡرِضُونَ,معرضون,مستمرُّون في تكذيبِهم.,5,18798
191,2,84,مِيثَٰقَكُمۡ,ميثقكم,العهدَ المؤكَّدَ في التَّوراة.,1,18799
192,2,84,أَقۡرَرۡتُمۡ,أقررتم,اعترفتُمْ.,2,18799
193,2,85,هَٰٓؤُلَآءِ,هؤلاء,يا هؤلاءِ.,1,18800
194,2,85,تَظَٰهَرُونَ عَلَيۡهِم,تظهرون عليهم,يتَقَوَّى كلٌّ منكم على إخوانِه بالأعداءِ.,2,18800
195,2,85,تُفَٰدُوهُمۡ,تفدوهم,تُحَرِّرُوهم مِنَ الأَسْرِ بدَفْعِ الفِدْيَةِ.,3,18800
196,2,85,ٱلۡكِتَٰبِ,ٱلكتب,التوراةِ.,4,18800
197,2,86,ٱشۡتَرَوُاْ ٱلۡحَيَوٰةَ ٱلدُّنۡيَا,ٱشتروا ٱلحيوة ٱلدنيا,استحَبُّوها.,1,18801
198,2,87,وَقَفَّيۡنَا,وقفينا,أتْبَعْنا بعضَهم خَلْفَ بعضٍ.,1,18802
199,2,87,ٱلۡبَيِّنَٰتِ,ٱلبينت,المعجزاتِ الواضحاتِ.,2,18802
200,2,87,بِرُوحِ ٱلۡقُدُسِ,بروح ٱلقدس,جبريلَ.,3,18802
201,2,88,وَقَالُواْ,وقالوا,وقال بنو إسرائيلَ.,1,18803
202,2,88,غُلۡفُۢ,غلف,مُغَطَّاةٌ لا يَنْفُذُ إليها قولُك.,2,18803
203,2,89,جَآءَهُمۡ,جاءهم,جاء اليهودَ.,1,18804
204,2,89,كِتَٰبٞ,كتب,هو القرآنُ الكريمُ.,2,18804
205,2,89,مُصَدِّقٞ,مصدق,موافِقٌ.,3,18804
206,2,89,لِمَا مَعَهُمۡ,لما معهم,من التوراة.,4,18804
207,2,89,مِن قَبۡلُ,من قبل,مِنْ قَبْلِ بِعْثَةِ محمدٍ ﷺ.,5,18804
208,2,89,يَسۡتَفۡتِحُونَ,يستفتحون,يَسْتَنْصِرُون بالنبيِّ الذي ينتظرونه.,6,18804
209,2,90,بِئۡسَمَا,بئسما,قَبُحَ.,1,18805
210,2,90,ٱشۡتَرَوۡاْ,ٱشتروا,باعوا.,2,18805
211,2,90,بَغۡيًا,بغيا,ظُلماً وحَسَداً.,3,18805
212,2,90,أَن يُنَزِّلَ,أن ينزل,من أَجْلِ أن يُنَزِّلَ.,4,18805
213,2,90,مِن فَضۡلِهِۦ,من فضله,هو تنزيلُ القرآنِ على محمدٍ ﷺ.,5,18805
214,2,90,فَبَآءُو,فباءو,فرَجَعُوا.,6,18805
215,2,90,بِغَضَبٍ,بغضب,بغَضَبِ اللهِ بسببِ تكذيبِهم للنبيِّ ﷺ.,7,18805
216,2,90,عَلَىٰ غَضَبٖ,على غضب,بعد غضبهِ بسببِ تحريفِهم للتوراةِ.,8,18805
217,2,91,بِمَا وَرَآءَهُۥ,بما وراءه,بما أنزل اللهُ بعدَ التوراةِ.,1,18806
218,2,91,لِمَا مَعَهُمۡ,لما معهم,من التَّوراةِ.,2,18806
219,2,92,بِٱلۡبَيِّنَٰتِ,بٱلبينت,بالمُعْجِزاتِ الواضحاتِ.,1,18807
220,2,92,ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ,ٱتخذتم ٱلعجل,أي: مَعْبوداً.,2,18807
221,2,93,مِيثَٰقَكُمۡ,ميثقكم,العهدَ المؤكَّدَ.,1,18808
222,2,93,ٱلطُّورَ,ٱلطور,جبلَ الطُّورِ.,2,18808
223,2,93,وَأُشۡرِبُواْ فِي قُلُوبِهِمُ ٱلۡعِجۡلَ,وأشربوا في قلوبهم ٱلعجل,امتزجَ حُبُّ عبادَةِ العِجْلِ بقُلوبهِم.,3,18808
224,2,94,خَالِصَةٗ,خالصة,خاصةً بكم.,1,18809
225,2,94,فَتَمَنَّوُاْ ٱلۡمَوۡتَ,فتمنوا ٱلموت,ادْعُوا بالموتِ على الكاذبِ.,2,18809
226,2,95,قَدَّمَتۡ,قدمت,كَسَبَتْ.,1,18810
